inertia,acc_coef_1,acc_coef_2,swarm_size,num_iters,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
0.4,2.15,1.8,150,50,rastrigin,3,0.0,9.53674e-07,0.0,0.173167,1.03085
0.4,2.4,1.8,150,50,rastrigin,3,0.0,7.83014e-05,7.62939e-06,0.186275,0.890719
0.4,2.75,1.8,150,50,rastrigin,3,0.0,0.00682463,0.000929832,0.32311,1.01028
0.4,2.8,1.8,150,50,rastrigin,3,0.0,0.0128129,0.00224304,0.384129,1.00606
0.4,1.1,1.75,150,50,rastrigin,3,0.0,5.03254e-05,0.0,0.415847,0.803062
0.4,2.2,1.75,150,50,rastrigin,3,0.0,2.33173e-06,0.0,0.132316,0.89446
0.4,1.1,1.7,150,50,rastrigin,3,0.0,0.000159597,0.0,0.433504,0.828105
0.4,1.15,1.7,150,50,rastrigin,3,0.0,0.0104951,0.0,0.422182,0.805035
0.4,2.7,1.7,150,50,rastrigin,3,0.0,0.000237164,4.48227e-05,0.221005,0.916648
0.4,1.2,1.65,150,50,rastrigin,3,0.0,4.55904e-05,0.0,0.42055,0.823977
0.4,2.3,1.65,150,50,rastrigin,3,0.0,1.91689e-06,0.0,0.167245,1.03752
0.4,2.4,1.65,150,50,rastrigin,3,0.0,2.77519e-06,0.0,0.175756,0.885559
0.4,3.0,1.65,150,50,rastrigin,3,0.0,0.013304,0.00255871,0.35138,1.18803
0.4,1.2,1.6,150,50,rastrigin,3,0.0,1.03474e-06,0.0,0.377163,0.80921
0.4,2.45,1.6,150,50,rastrigin,3,0.0,5.87463e-06,0.0,0.183201,0.864827
0.4,2.5,1.6,150,50,rastrigin,3,0.0,4.20094e-06,0.0,0.119246,1.24644
0.4,2.7,1.6,150,50,rastrigin,3,0.0,4.26292e-05,5.72205e-06,0.136557,0.937486
0.4,2.9,1.6,150,50,rastrigin,3,0.0,0.000900397,0.000144958,0.245185,0.984734
0.4,2.4,1.55,150,50,rastrigin,3,0.0,1.63555e-06,0.0,0.180582,0.850166
0.4,2.55,1.55,150,50,rastrigin,3,0.0,9.56535e-06,0.0,0.180965,0.984311
0.4,2.95,1.55,150,50,rastrigin,3,0.0,0.00341579,0.000344276,0.330512,1.01708
0.4,2.5,1.5,150,50,rastrigin,3,0.0,2.75612e-06,0.0,0.152368,1.13781
0.4,2.9,1.4,150,50,rastrigin,3,0.0,8.74805e-05,7.62939e-06,0.185379,0.942021
0.4,1.15,1.35,150,50,rastrigin,3,0.0,0.0624388,0.0,0.454086,0.803455
0.4,1.2,1.35,150,50,rastrigin,3,0.0,0.000100956,0.0,0.403167,0.801198
0.4,1.25,1.35,150,50,rastrigin,3,0.0,2.46048e-06,0.0,0.395868,0.969536
0.4,2.75,1.35,150,50,rastrigin,3,0.0,8.47817e-06,0.0,0.177917,1.03833
0.4,3.0,1.35,150,50,rastrigin,3,0.0,0.000248442,1.90735e-05,0.239535,1.19521
0.4,1.2,1.3,150,50,rastrigin,3,0.0,0.0174725,0.0,0.454948,0.809637
0.4,1.25,1.3,150,50,rastrigin,3,0.0,5.05447e-07,0.0,0.408869,0.95342
0.4,1.25,1.25,150,50,rastrigin,3,0.0,3.29494e-06,0.0,0.389148,0.985566
0.4,2.9,1.25,150,50,rastrigin,3,0.0,1.12343e-05,0.0,0.164506,0.963844
0.4,2.95,1.25,150,50,rastrigin,3,0.0,7.95364e-06,0.0,0.146606,1.00465
0.4,1.2,1.2,150,50,rastrigin,3,0.0,1.4782e-06,0.0,0.400308,0.793505
0.4,3.0,1.2,150,50,rastrigin,3,0.0,1.7395e-05,0.0,0.103028,1.16375
0.4,1.15,1.15,150,50,rastrigin,3,0.0,7.03812e-06,0.0,0.420437,0.805677
0.4,2.9,1.15,150,50,rastrigin,3,0.0,3.1805e-06,0.0,0.133157,1.03888
0.4,2.95,1.15,150,50,rastrigin,3,0.0,1.13964e-06,0.0,0.0995667,1.02014
0.4,1.15,1.1,150,50,rastrigin,3,0.0,0.0287101,0.0,0.448402,0.768748
0.4,3.0,1.1,150,50,rastrigin,3,0.0,6.44207e-06,0.0,0.162627,1.1759
0.4,1.05,1.0,150,50,rastrigin,3,0.0,0.000311069,0.0,0.436375,0.823187
0.4,1.05,0.95,150,50,rastrigin,3,0.0,0.0249654,0.0,0.467899,0.833879
0.4,1.0,0.9,150,50,rastrigin,3,0.0,0.00422556,0.0,0.445163,0.831968
0.4,1.0,0.85,150,50,rastrigin,3,0.0,0.0166311,0.0,0.480144,0.806196
0.4,1.0,0.8,150,50,rastrigin,3,0.0,0.00211586,0.0,0.416542,0.868632
0.4,0.95,0.75,150,50,rastrigin,3,0.0,0.000344839,0.0,0.410346,0.836959
0.4,1.0,0.75,150,50,rastrigin,3,0.0,9.97543e-06,0.0,0.366588,0.866407
0.4,0.9,0.7,150,50,rastrigin,3,0.0,0.0413731,0.0,0.458611,0.809009
0.4,0.95,0.7,150,50,rastrigin,3,0.0,0.000848846,0.0,0.419787,0.925535
0.4,1.0,0.7,150,50,rastrigin,3,0.0,2.56824e-05,0.0,0.374749,0.870183
0.4,1.0,0.65,150,50,rastrigin,3,0.0,1.34373e-05,0.0,0.342804,0.861747
0.4,0.85,0.6,150,50,rastrigin,3,0.0,0.0783814,0.0,0.475853,0.919404
0.4,0.95,0.6,150,50,rastrigin,3,0.0,6.45161e-06,0.0,0.337269,0.842426
0.4,1.0,0.55,150,50,rastrigin,3,0.0,2.08855e-06,0.0,0.326135,0.882388
0.4,2.8,0.55,150,50,rastrigin,3,0.0,1.85966e-06,0.0,0.00586848,1.16123
0.4,0.9,0.5,150,50,rastrigin,3,0.0,0.000134559,0.0,0.374552,0.877807
