selection,limit,mutation_dims,phi0,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
roulette wheel,60,1,0.622346,75,50,rosenbrock,3,0.003295,0.030298,0.031818,0.063828,1.225505
roulette wheel,130,1,1.200103,75,50,rosenbrock,3,0.001904,0.032224,0.036200,0.055847,0.645325
roulette wheel,130,1,1.037155,75,50,rosenbrock,3,0.001447,0.029778,0.030606,0.060646,0.683460
roulette wheel,90,1,1.115658,75,50,rosenbrock,3,0.001406,0.044578,0.044913,0.114599,0.635435
roulette wheel,130,1,1.388651,75,50,rosenbrock,3,0.004102,0.033984,0.030913,0.061256,0.696835
roulette wheel,90,1,1.859271,75,50,rosenbrock,3,0.015655,0.056550,0.052196,0.095723,0.656915
roulette wheel,80,1,1.290939,75,50,rosenbrock,3,0.006815,0.044974,0.058773,0.060011,0.647965
roulette wheel,70,1,1.290939,75,50,rosenbrock,3,0.003971,0.045851,0.046722,0.086538,0.738850
roulette wheel,140,1,0.500000,75,50,rosenbrock,3,0.000761,0.025071,0.029931,0.051232,0.705370
roulette wheel,100,1,0.578555,75,50,rosenbrock,3,0.001716,0.033382,0.032782,0.078347,0.636545
roulette wheel,70,1,1.728444,75,50,rosenbrock,3,0.003347,0.064171,0.078973,0.081204,0.726445
roulette wheel,80,1,0.537845,75,50,rosenbrock,3,0.004757,0.029328,0.035491,0.034925,0.727005
roulette wheel,90,1,1.290939,75,50,rosenbrock,3,0.004021,0.029025,0.030770,0.064430,0.729090
roulette wheel,100,1,0.500000,75,50,rosenbrock,3,0.000111,0.014573,0.014913,0.023162,0.730660
roulette wheel,10,1,1.115658,75,50,rosenbrock,3,0.039296,0.123131,0.145017,0.130388,0.741045
roulette wheel,80,1,0.720123,75,50,rosenbrock,3,0.001312,0.018722,0.020683,0.077232,0.820125
roulette wheel,100,1,0.669452,75,50,rosenbrock,3,0.002109,0.036245,0.039666,0.037283,0.638415
roulette wheel,90,1,1.728444,75,50,rosenbrock,3,0.006068,0.059179,0.054687,0.087472,0.640770
roulette wheel,100,1,0.774630,75,50,rosenbrock,3,0.000902,0.022300,0.021155,0.089510,0.632800
roulette wheel,80,1,1.493759,75,50,rosenbrock,3,0.013392,0.040899,0.044741,0.064180,0.729685
roulette wheel,100,1,0.896332,75,50,rosenbrock,3,0.003450,0.033924,0.037958,0.055643,0.636285
roulette wheel,100,1,1.037155,75,50,rosenbrock,3,0.002529,0.038359,0.039000,0.051989,0.749120
roulette wheel,100,1,1.388651,75,50,rosenbrock,3,0.001376,0.048099,0.061451,0.098448,0.641760
roulette wheel,110,1,0.669452,75,50,rosenbrock,3,0.000393,0.017630,0.018836,0.085091,0.638250
roulette wheel,110,1,0.500000,75,50,rosenbrock,3,0.001295,0.025046,0.030772,0.068986,0.661185
roulette wheel,100,1,1.859271,75,50,rosenbrock,3,0.013140,0.064376,0.065625,0.112421,0.678895
roulette wheel,100,1,1.606822,75,50,rosenbrock,3,0.000515,0.056752,0.057652,0.141712,0.717760
roulette wheel,100,1,1.200103,75,50,rosenbrock,3,0.003544,0.037628,0.055611,0.049889,0.728745
roulette wheel,110,1,0.896332,75,50,rosenbrock,3,0.002416,0.036140,0.037035,0.048517,0.670620
roulette wheel,110,1,0.578555,75,50,rosenbrock,3,0.000790,0.019843,0.021689,0.047051,0.732605
roulette wheel,110,1,0.774630,75,50,rosenbrock,3,0.004178,0.028683,0.027059,0.051430,0.734405
roulette wheel,110,1,1.037155,75,50,rosenbrock,3,0.001241,0.029378,0.037041,0.050396,0.736995
roulette wheel,150,1,0.896332,75,50,rosenbrock,3,0.001111,0.018622,0.021173,0.056270,0.801655
roulette wheel,100,1,0.720123,75,50,rosenbrock,3,0.001676,0.024585,0.025841,0.035476,0.689350
roulette wheel,150,1,0.774630,75,50,rosenbrock,3,0.001965,0.017120,0.018486,0.019804,0.856120
roulette wheel,120,1,0.500000,75,50,rosenbrock,3,0.003783,0.020904,0.022722,0.067019,0.726570
roulette wheel,90,1,0.896332,75,50,rosenbrock,3,0.003176,0.021157,0.021516,0.037020,0.727115
roulette wheel,40,1,0.720123,75,50,rosenbrock,3,0.002916,0.033720,0.040798,0.038925,0.747325
roulette wheel,40,1,0.622346,75,50,rosenbrock,3,0.000223,0.032644,0.027148,0.055289,0.671475
roulette wheel,40,1,1.115658,75,50,rosenbrock,3,0.005007,0.058173,0.054103,0.112575,0.737970
roulette wheel,120,1,0.896332,75,50,rosenbrock,3,0.003253,0.023899,0.026347,0.028436,0.649465
roulette wheel,50,1,1.290939,75,50,rosenbrock,3,0.006665,0.050736,0.059131,0.079346,0.639210
roulette wheel,120,1,1.388651,75,50,rosenbrock,3,0.004708,0.059852,0.096295,0.117545,0.630405
roulette wheel,110,1,0.537845,75,50,rosenbrock,3,0.000605,0.020125,0.021741,0.106494,0.694200
roulette wheel,120,1,0.578555,75,50,rosenbrock,3,0.002084,0.031041,0.036908,0.040613,0.740680
roulette wheel,120,1,0.669452,75,50,rosenbrock,3,0.004802,0.030854,0.040893,0.062583,0.783110
roulette wheel,50,1,1.728444,75,50,rosenbrock,3,0.020320,0.068193,0.069989,0.092251,0.651185
roulette wheel,70,1,0.896332,75,50,rosenbrock,3,0.003455,0.028287,0.033676,0.025988,0.732730
roulette wheel,100,1,1.115658,75,50,rosenbrock,3,0.000883,0.042437,0.054735,0.108791,0.967450
roulette wheel,60,1,0.720123,75,50,rosenbrock,3,0.006401,0.036944,0.035947,0.055753,0.651080
roulette wheel,120,1,1.859271,75,50,rosenbrock,3,0.002494,0.051876,0.059597,0.127668,0.631330
roulette wheel,120,1,1.606822,75,50,rosenbrock,3,0.012365,0.070915,0.086842,0.091496,0.723795
roulette wheel,130,1,0.500000,75,50,rosenbrock,3,0.000476,0.012938,0.013591,0.063075,0.639285
roulette wheel,110,1,0.720123,75,50,rosenbrock,3,0.000796,0.015681,0.013834,0.026569,1.075360
roulette wheel,130,1,0.578555,75,50,rosenbrock,3,0.002398,0.029346,0.037424,0.048005,0.631140
roulette wheel,90,1,0.720123,75,50,rosenbrock,3,0.001607,0.014650,0.020346,0.028208,0.731130
roulette wheel,110,1,1.493759,75,50,rosenbrock,3,0.010976,0.050060,0.070130,0.047889,0.728460
roulette wheel,110,1,2.000000,75,50,rosenbrock,3,0.004550,0.068742,0.092725,0.091684,0.711400
roulette wheel,120,1,0.833262,75,50,rosenbrock,3,0.002402,0.037004,0.043012,0.044242,0.644555
roulette wheel,130,1,1.606822,75,50,rosenbrock,3,0.006557,0.030279,0.030732,0.121503,0.634930
roulette wheel,90,1,1.493759,75,50,rosenbrock,3,0.006993,0.044268,0.045529,0.110111,0.631110
roulette wheel,130,1,0.669452,75,50,rosenbrock,3,0.001190,0.034491,0.049103,0.059492,0.736800
roulette wheel,130,1,0.896332,75,50,rosenbrock,3,0.001392,0.024786,0.028299,0.031635,0.727200
roulette wheel,130,1,0.774630,75,50,rosenbrock,3,0.001557,0.020318,0.021212,0.087401,0.737900
roulette wheel,70,1,0.537845,75,50,rosenbrock,3,0.003544,0.017962,0.019522,0.027581,0.733065
roulette wheel,70,1,0.833262,75,50,rosenbrock,3,0.002256,0.027595,0.042794,0.038857,0.729870
roulette wheel,80,1,1.606822,75,50,rosenbrock,3,0.020383,0.060044,0.065395,0.063867,0.726220
roulette wheel,80,1,1.859271,75,50,rosenbrock,3,0.000823,0.070562,0.086107,0.101367,0.662175
roulette wheel,160,1,0.669452,75,50,rosenbrock,3,0.000640,0.028691,0.035776,0.067715,0.946570
roulette wheel,80,1,0.622346,75,50,rosenbrock,3,0.001018,0.023956,0.024975,0.038167,0.666165
roulette wheel,120,1,0.622346,75,50,rosenbrock,3,0.002978,0.025396,0.023470,0.074076,0.984305
roulette wheel,140,1,0.578555,75,50,rosenbrock,3,0.000848,0.039705,0.051668,0.082413,0.740215
roulette wheel,10,1,0.964176,75,50,rosenbrock,3,0.009680,0.082685,0.085348,0.149370,0.754735
roulette wheel,80,1,0.833262,75,50,rosenbrock,3,0.002328,0.032373,0.036120,0.034252,0.732065
roulette wheel,80,1,1.115658,75,50,rosenbrock,3,0.009384,0.043408,0.047975,0.035620,0.728565
roulette wheel,70,1,0.964176,75,50,rosenbrock,3,0.002366,0.040057,0.056089,0.051701,0.872125
roulette wheel,120,1,1.290939,75,50,rosenbrock,3,0.005031,0.041765,0.041487,0.048807,0.638350
roulette wheel,140,1,0.774630,75,50,rosenbrock,3,0.009093,0.029252,0.030081,0.050616,0.717760
roulette wheel,140,1,1.200103,75,50,rosenbrock,3,0.004169,0.033934,0.029148,0.101255,0.638785
roulette wheel,130,1,1.290939,75,50,rosenbrock,3,0.000733,0.025007,0.031930,0.051603,0.633655
roulette wheel,140,1,0.896332,75,50,rosenbrock,3,0.000361,0.029433,0.032248,0.043579,0.728445
roulette wheel,170,1,0.500000,75,50,rosenbrock,3,0.000351,0.008839,0.013419,0.011611,0.702505
roulette wheel,160,1,1.388651,75,50,rosenbrock,3,0.000243,0.034005,0.036087,0.146906,0.910000
roulette wheel,130,1,1.115658,75,50,rosenbrock,3,0.001497,0.026555,0.025315,0.044311,0.675985
roulette wheel,130,1,1.493759,75,50,rosenbrock,3,0.001629,0.041857,0.055211,0.104003,0.637005
roulette wheel,90,1,2.000000,75,50,rosenbrock,3,0.003332,0.073655,0.105029,0.140512,0.636870
roulette wheel,140,1,1.606822,75,50,rosenbrock,3,0.012656,0.041440,0.043896,0.106991,0.645890
roulette wheel,140,1,0.537845,75,50,rosenbrock,3,0.001163,0.025426,0.037214,0.032386,0.711250
roulette wheel,140,1,1.859271,75,50,rosenbrock,3,0.006865,0.049678,0.055754,0.078209,0.728750
roulette wheel,110,1,1.200103,75,50,rosenbrock,3,0.004917,0.054975,0.068868,0.142791,0.639770
roulette wheel,110,1,1.606822,75,50,rosenbrock,3,0.002856,0.043260,0.046171,0.061302,0.632200
roulette wheel,90,1,0.578555,75,50,rosenbrock,3,0.002070,0.026037,0.032305,0.036049,0.651505
roulette wheel,150,1,0.500000,75,50,rosenbrock,3,0.002016,0.016022,0.019749,0.024634,0.733120
roulette wheel,100,1,0.833262,75,50,rosenbrock,3,0.000877,0.031388,0.037951,0.055902,0.636370
roulette wheel,150,1,0.578555,75,50,rosenbrock,3,0.000659,0.021709,0.028784,0.038836,0.726185
roulette wheel,150,1,0.669452,75,50,rosenbrock,3,0.000909,0.025726,0.026816,0.040578,0.721665
roulette wheel,100,1,0.537845,75,50,rosenbrock,3,0.001365,0.026415,0.027040,0.045076,0.728600
roulette wheel,150,1,1.037155,75,50,rosenbrock,3,0.005203,0.028764,0.036857,0.057240,0.725350
roulette wheel,150,1,1.200103,75,50,rosenbrock,3,0.001261,0.034652,0.038386,0.060081,0.733560
roulette wheel,100,1,0.964176,75,50,rosenbrock,3,0.001042,0.041685,0.042853,0.058157,0.727765
roulette wheel,100,1,1.493759,75,50,rosenbrock,3,0.002604,0.038133,0.038173,0.050687,0.641025
roulette wheel,140,1,0.622346,75,50,rosenbrock,3,0.007524,0.044881,0.054339,0.060940,0.978285
roulette wheel,40,1,0.833262,75,50,rosenbrock,3,0.000892,0.058439,0.066166,0.054014,0.742545
roulette wheel,170,1,0.669452,75,50,rosenbrock,3,0.001334,0.023338,0.027811,0.047358,1.445045
roulette wheel,100,1,2.000000,75,50,rosenbrock,3,0.005138,0.045705,0.048488,0.126406,0.719755
roulette wheel,120,1,1.037155,75,50,rosenbrock,3,0.000944,0.035013,0.045476,0.043721,0.738725
roulette wheel,140,1,1.728444,75,50,rosenbrock,3,0.009251,0.046274,0.049923,0.056781,0.682300
roulette wheel,180,1,1.037155,75,50,rosenbrock,3,0.010442,0.028031,0.028124,0.027427,0.660665
roulette wheel,110,1,0.964176,75,50,rosenbrock,3,0.000495,0.036878,0.048262,0.039658,0.675670
roulette wheel,100,1,1.290939,75,50,rosenbrock,3,0.001292,0.042248,0.055013,0.078772,0.730840
roulette wheel,180,1,1.200103,75,50,rosenbrock,3,0.001604,0.024657,0.030454,0.031312,0.669095
roulette wheel,150,1,0.537845,75,50,rosenbrock,3,0.001791,0.023965,0.028677,0.045196,0.706190
roulette wheel,110,1,0.622346,75,50,rosenbrock,3,0.000327,0.021623,0.026255,0.047424,0.732095
