teaching_factor,outstanding_percentage,n_leaders,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
1.928571,0.357143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.371920
1.928571,0.428571,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.506080
1.928571,0.500000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.560230
1.928571,0.571429,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.580600
1.928571,0.642857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.765930
1.928571,0.714286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.851680
1.928571,0.785714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000001,9.929890
1.928571,0.857143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000031,10.115480
1.928571,0.928571,3,150,50,rosenbrock,3,0.000000,0.000001,0.000001,0.000057,10.293570
1.928571,1.000000,3,150,50,rosenbrock,3,0.000005,0.023656,0.017343,0.095168,10.631530
2.071429,0.000000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.117904,8.668640
2.071429,0.071429,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.039016,8.810570
2.071429,0.142857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000055,8.966160
2.071429,0.214286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000001,8.920570
2.071429,0.285714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.062440
2.071429,0.357143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.178680
2.071429,0.428571,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.318640
2.071429,0.500000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.444400
2.071429,0.571429,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.688610
2.071429,0.642857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000005,9.922340
2.071429,0.714286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000005,10.095490
2.071429,0.785714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000011,10.152470
2.071429,0.857143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000001,10.265290
2.071429,0.928571,3,150,50,rosenbrock,3,0.000000,0.000001,0.000001,0.000320,10.360120
2.071429,1.000000,3,150,50,rosenbrock,3,0.000001,0.018657,0.013738,0.100602,10.140350
2.214286,0.000000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.094554,8.491800
2.214286,0.071429,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.659930
2.214286,0.142857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.002447,8.838820
2.214286,0.214286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.940920
2.214286,0.285714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.563270
2.214286,0.357143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.374530
2.214286,0.428571,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.490750
2.214286,0.500000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.632030
2.214286,0.571429,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.002408,9.782840
2.214286,0.642857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.785660
2.214286,0.714286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.855830
2.214286,0.785714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.953870
2.214286,0.857143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000002,10.070980
2.214286,0.928571,3,150,50,rosenbrock,3,0.000000,0.000002,0.000001,0.000366,10.141340
2.214286,1.000000,3,150,50,rosenbrock,3,0.000004,0.020885,0.016597,0.170551,10.178130
2.357143,0.000000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.075500,8.688300
2.357143,0.071429,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.845180
2.357143,0.142857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.971520
2.357143,0.214286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.083750
2.357143,0.285714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.286500
2.357143,0.357143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.325290
2.357143,0.428571,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.339440
2.357143,0.500000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.495220
2.357143,0.571429,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.741190
2.357143,0.642857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.807400
2.357143,0.714286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000591,9.908210
2.357143,0.785714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000001,10.033220
2.357143,0.857143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,10.220090
2.357143,0.928571,3,150,50,rosenbrock,3,0.000000,0.000001,0.000001,0.002837,10.371360
2.357143,1.000000,3,150,50,rosenbrock,3,0.000000,0.016949,0.013734,0.067022,10.278430
2.500000,0.000000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.006392,8.923990
2.500000,0.071429,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.836340
2.500000,0.142857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.793990
2.500000,0.214286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.924640
2.500000,0.285714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.079280
2.500000,0.357143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,10.255470
2.500000,0.428571,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.732390
2.500000,0.500000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.779410
2.500000,0.571429,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000001,9.697770
2.500000,0.642857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.891640
2.500000,0.714286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,10.028760
2.500000,0.785714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000111,10.600460
2.500000,0.857143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000021,10.164580
2.500000,0.928571,3,150,50,rosenbrock,3,0.000000,0.000003,0.000002,0.008254,10.238240
2.500000,1.000000,3,150,50,rosenbrock,3,0.000004,0.021500,0.022901,0.074942,10.112820
0.500000,0.000000,3,450,150,rosenbrock,6,0.000000,1.468193,1.631320,2.882063,102.301850
0.500000,0.071429,3,450,150,rosenbrock,6,0.000000,0.293069,0.136421,1.582263,103.832380
0.500000,0.142857,3,450,150,rosenbrock,6,0.000000,0.240598,0.020520,1.659530,105.235380
