selection,limit,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
tournament 5,175,300,150,rosenbrock,6,0.001007,0.014514,0.018466,0.020423,3.509805
tournament 5,150,300,150,rosenbrock,6,0.006498,0.015681,0.017641,0.017120,4.117270
tournament 5,170,300,150,rosenbrock,6,0.000859,0.013115,0.017214,0.012045,4.075655
tournament 5,190,300,150,rosenbrock,6,0.001415,0.013807,0.016404,0.014390,2.826455
tournament 5,195,300,150,rosenbrock,6,0.005199,0.014365,0.016313,0.009902,3.064385
tournament 5,200,300,150,rosenbrock,6,0.001984,0.010643,0.012841,0.009669,3.223495
roulette wheel,90,600,300,rosenbrock,9,0.006816,0.014415,0.016386,0.010949,17.092670
roulette wheel,75,600,300,rosenbrock,9,0.003440,0.022252,0.027084,0.016425,17.442595
roulette wheel,55,600,300,rosenbrock,9,0.005643,0.030440,0.030751,0.021075,17.616180
roulette wheel,50,600,300,rosenbrock,9,0.004000,0.036419,0.041974,0.023334,17.664750
roulette wheel,40,600,300,rosenbrock,9,0.007396,0.045169,0.055412,0.026666,17.782320
roulette wheel,70,600,300,rosenbrock,9,0.004418,0.013635,0.016746,0.014602,17.886545
roulette wheel,20,600,300,rosenbrock,9,0.026721,0.121467,0.158216,0.081585,18.123620
roulette wheel,95,600,300,rosenbrock,9,0.006302,0.013858,0.014608,0.011226,17.963230
roulette wheel,35,600,300,rosenbrock,9,0.023635,0.049564,0.051601,0.040124,18.582230
roulette wheel,45,600,300,rosenbrock,9,0.011335,0.036331,0.038187,0.025831,18.668500
roulette wheel,60,600,300,rosenbrock,9,0.014383,0.030852,0.035880,0.011511,18.695650
roulette wheel,100,600,300,rosenbrock,9,0.003785,0.012463,0.014153,0.014776,18.542070
roulette wheel,30,600,300,rosenbrock,9,0.010936,0.081816,0.096354,0.067106,19.551320
roulette wheel,65,600,300,rosenbrock,9,0.009307,0.021150,0.023820,0.012276,19.837215
roulette wheel,25,600,300,rosenbrock,9,0.012655,0.087706,0.102047,0.085381,19.948340
roulette wheel,85,600,300,rosenbrock,9,0.001367,0.014312,0.016586,0.012230,20.469740
roulette wheel,15,600,300,rosenbrock,9,0.062584,0.180120,0.200407,0.095924,20.933950
roulette wheel,10,600,300,rosenbrock,9,0.027198,0.315181,0.380558,0.279640,20.980240
roulette wheel,5,600,300,rosenbrock,9,0.128574,0.600283,0.714263,0.421284,22.077625
roulette wheel,105,600,300,rosenbrock,9,0.001975,0.014688,0.017141,0.014580,22.177875
roulette wheel,80,600,300,rosenbrock,9,0.006623,0.018640,0.021373,0.010433,22.564160
roulette wheel,115,600,300,rosenbrock,9,0.005106,0.012159,0.014360,0.010942,20.067255
roulette wheel,110,600,300,rosenbrock,9,0.004370,0.012795,0.014732,0.015112,22.277600
roulette wheel,120,600,300,rosenbrock,9,0.001651,0.009645,0.011026,0.004585,23.670415
roulette wheel,125,600,300,rosenbrock,9,0.001105,0.011448,0.013605,0.009422,21.457645
roulette wheel,130,600,300,rosenbrock,9,0.004496,0.010368,0.011875,0.006464,20.042725
roulette wheel,135,600,300,rosenbrock,9,0.002833,0.007731,0.008828,0.006379,21.359140
tournament 3,25,600,300,rosenbrock,9,0.127542,0.328834,0.368234,0.144301,15.699955
roulette wheel,180,600,300,rosenbrock,9,0.002754,0.006651,0.006792,0.006779,17.466365
tournament 3,15,600,300,rosenbrock,9,0.552734,2.431314,2.871564,1.223685,16.509630
roulette wheel,140,600,300,rosenbrock,9,0.002214,0.010033,0.012632,0.006109,19.512405
roulette wheel,145,600,300,rosenbrock,9,0.002743,0.010985,0.013985,0.007476,19.553540
roulette wheel,150,600,300,rosenbrock,9,0.004239,0.012845,0.014659,0.011126,19.301560
tournament 3,20,600,300,rosenbrock,9,0.054668,0.771134,0.936132,0.450337,16.620270
roulette wheel,170,600,300,rosenbrock,9,0.001273,0.008582,0.010580,0.006193,19.471240
roulette wheel,155,600,300,rosenbrock,9,0.002046,0.008799,0.011381,0.005924,19.710590
roulette wheel,160,600,300,rosenbrock,9,0.000977,0.008229,0.008453,0.008307,19.934030
tournament 3,10,600,300,rosenbrock,9,2.297964,8.936438,9.778610,4.194329,18.648365
roulette wheel,185,600,300,rosenbrock,9,0.002414,0.007362,0.009189,0.007955,19.063490
roulette wheel,165,600,300,rosenbrock,9,0.001437,0.005419,0.005354,0.006648,20.953435
tournament 3,30,600,300,rosenbrock,9,0.058386,0.129344,0.156058,0.076656,16.184025
tournament 3,5,600,300,rosenbrock,9,20.945650,58.932838,67.873962,20.857277,20.049265
roulette wheel,200,600,300,rosenbrock,9,0.001878,0.008461,0.009523,0.008482,20.618545
roulette wheel,190,600,300,rosenbrock,9,0.003058,0.007430,0.007441,0.005003,20.849520
roulette wheel,195,600,300,rosenbrock,9,0.001098,0.008271,0.009862,0.007836,22.262440
tournament 3,35,600,300,rosenbrock,9,0.013858,0.075514,0.085360,0.042476,16.562050
roulette wheel,175,600,300,rosenbrock,9,0.001726,0.007213,0.008801,0.008670,25.202770
tournament 3,40,600,300,rosenbrock,9,0.007423,0.040931,0.046134,0.033398,19.707460
tournament 3,55,600,300,rosenbrock,9,0.005065,0.014370,0.015145,0.010730,14.084995
tournament 3,45,600,300,rosenbrock,9,0.011491,0.032674,0.035068,0.016490,15.886530
tournament 3,80,600,300,rosenbrock,9,0.002651,0.012028,0.013280,0.008434,14.568940
tournament 3,70,600,300,rosenbrock,9,0.003791,0.017729,0.021105,0.008385,15.211790
tournament 3,120,600,300,rosenbrock,9,0.004517,0.011635,0.014774,0.006589,14.132925
tournament 3,65,600,300,rosenbrock,9,0.007106,0.017552,0.021042,0.011020,15.642565
tournament 3,95,600,300,rosenbrock,9,0.005836,0.010139,0.009956,0.006907,15.521175
tournament 3,90,600,300,rosenbrock,9,0.001904,0.011859,0.013192,0.009591,16.051550
tournament 3,130,600,300,rosenbrock,9,0.002119,0.009950,0.011462,0.006661,14.878815
tournament 3,140,600,300,rosenbrock,9,0.002723,0.010723,0.014275,0.008240,14.785145
