selection,limit,mutation_dims,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
roulette wheel,175,1,100,50,rastrigin,3,0.878609,4.018025,4.826930,2.516373,1.042235
roulette wheel,180,2,100,50,rastrigin,3,0.178141,4.406671,5.300558,3.599669,1.142025
roulette wheel,185,3,100,50,rastrigin,3,1.877720,4.960956,5.401044,2.239202,1.380670
roulette wheel,185,1,100,50,rastrigin,3,1.825426,4.164288,4.585847,2.659241,1.217355
roulette wheel,180,1,100,50,rastrigin,3,0.620264,4.475948,5.532561,2.313919,1.378950
roulette wheel,180,3,100,50,rastrigin,3,2.278782,5.904628,6.351075,2.347693,1.382570
roulette wheel,190,1,100,50,rastrigin,3,1.420254,4.643143,5.830493,3.305700,1.139615
roulette wheel,190,2,100,50,rastrigin,3,1.737324,3.763871,4.425782,2.529362,1.146900
roulette wheel,190,3,100,50,rastrigin,3,1.285656,4.434814,5.653221,2.672309,1.206925
roulette wheel,175,2,100,50,rastrigin,3,0.741806,4.587177,5.293715,2.573693,1.229770
roulette wheel,200,3,100,50,rastrigin,3,1.008801,4.457192,5.111305,2.477714,0.988090
roulette wheel,200,1,100,50,rastrigin,3,1.298683,3.899764,4.490623,2.697078,1.036190
roulette wheel,195,2,100,50,rastrigin,3,0.997187,4.945615,5.714443,3.415735,1.177135
roulette wheel,200,2,100,50,rastrigin,3,1.235371,3.508195,3.978860,1.910139,1.151430
tournament 3,5,1,100,50,rastrigin,3,0.409348,2.790898,3.260151,0.976525,1.150995
roulette wheel,195,3,100,50,rastrigin,3,1.405910,4.592447,5.364394,2.478500,1.291670
tournament 3,10,3,100,50,rastrigin,3,1.002232,2.997931,3.519649,1.683949,0.940200
tournament 3,20,1,100,50,rastrigin,3,0.933369,3.521762,4.301072,1.577792,0.806995
tournament 3,10,1,100,50,rastrigin,3,1.331121,3.261529,3.480274,1.304715,1.023125
tournament 3,15,3,100,50,rastrigin,3,0.746687,2.898195,3.244187,1.958059,0.993675
tournament 3,10,2,100,50,rastrigin,3,0.469332,2.390471,2.694404,1.648924,1.131795
tournament 3,5,3,100,50,rastrigin,3,0.838923,1.969490,2.011070,1.097655,1.198480
tournament 3,5,2,100,50,rastrigin,3,1.098202,2.627566,2.842696,1.280879,1.535980
roulette wheel,195,1,100,50,rastrigin,3,1.225639,5.395734,5.987803,2.223391,1.830155
tournament 3,15,2,100,50,rastrigin,3,1.149080,3.663515,4.515933,2.018910,1.325945
tournament 3,15,1,100,50,rastrigin,3,0.223700,3.364805,3.937265,1.950064,1.515500
tournament 3,20,3,100,50,rastrigin,3,1.334278,3.238953,3.711838,1.850899,1.116065
tournament 3,25,3,100,50,rastrigin,3,1.156317,3.803144,4.548476,2.041783,0.957250
tournament 3,25,2,100,50,rastrigin,3,0.538950,3.333234,3.847559,2.251279,0.988165
tournament 3,30,2,100,50,rastrigin,3,1.047647,3.692399,4.580783,2.046770,0.891565
tournament 3,30,1,100,50,rastrigin,3,1.706009,3.277357,3.867492,2.184151,1.089815
tournament 3,20,2,100,50,rastrigin,3,0.837414,3.704823,4.403953,2.505745,1.338355
tournament 3,25,1,100,50,rastrigin,3,2.440941,4.746247,5.016851,1.594178,1.250575
tournament 3,40,2,100,50,rastrigin,3,1.401247,4.451542,5.100774,1.801918,0.866015
tournament 3,40,3,100,50,rastrigin,3,1.429136,3.848720,4.391833,1.804108,0.878505
tournament 3,45,2,100,50,rastrigin,3,1.196608,3.356884,3.940006,1.716719,0.868040
tournament 3,35,1,100,50,rastrigin,3,2.504532,4.083164,4.710149,2.338745,0.995225
tournament 3,30,3,100,50,rastrigin,3,0.921841,3.032953,3.010682,2.342557,1.089160
tournament 3,35,2,100,50,rastrigin,3,1.149725,3.230052,3.764853,1.530257,1.078885
tournament 3,45,3,100,50,rastrigin,3,0.131962,3.880837,4.370736,2.868081,1.011645
tournament 3,55,1,100,50,rastrigin,3,0.278507,3.692225,4.639114,2.133043,0.883520
tournament 3,35,3,100,50,rastrigin,3,1.086563,3.322026,3.602543,2.690093,1.239800
tournament 3,40,1,100,50,rastrigin,3,0.365692,3.516890,4.809038,2.442136,1.230545
tournament 3,50,3,100,50,rastrigin,3,1.722898,3.972496,4.290052,2.322608,1.013810
tournament 3,50,2,100,50,rastrigin,3,0.432076,3.674430,4.216268,2.138974,1.051930
tournament 3,60,1,100,50,rastrigin,3,0.923773,3.249391,4.543166,2.769110,0.827205
tournament 3,65,2,100,50,rastrigin,3,2.200798,4.828751,5.261956,1.961239,1.133410
tournament 3,60,2,100,50,rastrigin,3,2.461275,4.483120,5.370438,2.272208,1.508285
tournament 3,55,3,100,50,rastrigin,3,0.669855,2.743194,3.139425,2.646914,1.115365
tournament 3,45,1,100,50,rastrigin,3,1.290829,3.891686,4.301003,2.210270,1.782160
tournament 3,50,1,100,50,rastrigin,3,0.379261,3.444762,4.305630,2.196028,0.916600
tournament 3,55,2,100,50,rastrigin,3,0.023890,3.283422,4.159062,2.828565,0.952030
tournament 3,65,1,100,50,rastrigin,3,0.881317,3.962708,4.889559,2.499180,0.970045
tournament 3,75,1,100,50,rastrigin,3,1.283417,4.066563,4.183990,2.106527,0.792145
tournament 3,70,1,100,50,rastrigin,3,0.101559,3.901567,4.340466,3.165164,1.029280
tournament 3,60,3,100,50,rastrigin,3,0.514101,3.552888,3.776457,2.994139,1.114340
tournament 3,70,2,100,50,rastrigin,3,1.157124,2.955386,3.021542,2.800893,1.003695
tournament 3,70,3,100,50,rastrigin,3,0.341583,3.567541,4.928497,2.898345,1.077235
tournament 3,65,3,100,50,rastrigin,3,1.373659,4.119176,5.167433,2.512318,1.389915
tournament 3,75,2,100,50,rastrigin,3,1.043446,3.223808,3.531710,2.277212,1.140530
tournament 3,80,2,100,50,rastrigin,3,0.956795,4.360134,4.784351,2.804901,0.854160
tournament 3,85,1,100,50,rastrigin,3,0.589935,3.325978,4.511728,2.804907,0.880465
tournament 3,80,1,100,50,rastrigin,3,1.447643,4.486830,4.976654,2.007262,1.016765
tournament 3,100,3,100,50,rastrigin,3,1.506645,4.850875,6.090505,2.410949,1.007885
tournament 3,75,3,100,50,rastrigin,3,0.409071,4.312831,5.229677,1.995125,1.367405
tournament 3,85,3,100,50,rastrigin,3,2.953865,5.484014,6.138050,2.014706,1.020390
tournament 3,95,2,100,50,rastrigin,3,1.045750,4.816390,5.700405,2.398541,0.900245
