selection,limit,mutation_dims,phi0,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
roulette wheel,30,1,2.000000,75,50,rastrigin,3,0.000002,0.000455,0.000319,0.001664,1.228535
roulette wheel,40,1,1.115658,75,50,rastrigin,3,0.000000,0.000002,0.000002,0.000008,1.131700
roulette wheel,40,1,1.493759,75,50,rastrigin,3,0.000000,0.000009,0.000010,0.000014,1.185675
roulette wheel,50,1,1.606822,75,50,rastrigin,3,0.000000,0.000014,0.000016,0.000051,1.174895
roulette wheel,40,1,0.964176,75,50,rastrigin,3,0.000000,0.000015,0.000014,0.000343,1.149925
roulette wheel,40,1,0.622346,75,50,rastrigin,3,0.000004,0.000040,0.000032,0.000239,1.301660
roulette wheel,40,1,1.290939,75,50,rastrigin,3,0.000000,0.000004,0.000004,0.000008,1.289070
roulette wheel,50,1,1.859271,75,50,rastrigin,3,0.000000,0.000038,0.000043,0.000273,1.245830
roulette wheel,40,1,2.000000,75,50,rastrigin,3,0.000008,0.000229,0.000191,0.001181,1.087615
roulette wheel,50,1,1.388651,75,50,rastrigin,3,0.000000,0.000006,0.000007,0.000022,1.285605
roulette wheel,60,1,0.500000,75,50,rastrigin,3,0.000004,0.000075,0.000074,0.000529,1.194005
roulette wheel,50,1,0.964176,75,50,rastrigin,3,0.000000,0.000035,0.000039,0.000866,1.177395
roulette wheel,60,1,0.578555,75,50,rastrigin,3,0.000000,0.000022,0.000023,0.000082,1.184075
roulette wheel,50,1,0.622346,75,50,rastrigin,3,0.000000,0.000043,0.000050,0.000115,1.065510
roulette wheel,60,1,0.669452,75,50,rastrigin,3,0.000000,0.000013,0.000016,0.000068,1.083920
roulette wheel,40,1,0.537845,75,50,rastrigin,3,0.000000,0.000074,0.000073,0.000497,1.252335
roulette wheel,40,1,1.728444,75,50,rastrigin,3,0.000004,0.000057,0.000059,0.000119,1.013470
roulette wheel,50,1,0.720123,75,50,rastrigin,3,0.000002,0.000037,0.000036,0.000072,0.949465
roulette wheel,60,1,0.774630,75,50,rastrigin,3,0.000004,0.000034,0.000029,0.001021,0.944180
roulette wheel,50,1,0.833262,75,50,rastrigin,3,0.000000,0.000035,0.000022,0.001441,0.954775
roulette wheel,50,1,1.115658,75,50,rastrigin,3,0.000000,0.000002,0.000002,0.000011,0.979240
roulette wheel,50,1,1.290939,75,50,rastrigin,3,0.000000,0.000010,0.000011,0.000018,0.962015
roulette wheel,60,1,0.896332,75,50,rastrigin,3,0.000000,0.000034,0.000042,0.000191,1.039510
roulette wheel,60,1,1.200103,75,50,rastrigin,3,0.000000,0.000006,0.000004,0.000024,0.976640
roulette wheel,60,1,1.388651,75,50,rastrigin,3,0.000000,0.000005,0.000004,0.000022,0.970740
roulette wheel,60,1,1.606822,75,50,rastrigin,3,0.000000,0.000024,0.000025,0.000179,0.966620
roulette wheel,70,1,0.578555,75,50,rastrigin,3,0.000000,0.000018,0.000013,0.000079,0.884995
roulette wheel,60,1,1.037155,75,50,rastrigin,3,0.000000,0.000004,0.000004,0.000056,1.097865
roulette wheel,70,1,0.500000,75,50,rastrigin,3,0.000000,0.000054,0.000060,0.001595,0.988630
roulette wheel,70,1,0.669452,75,50,rastrigin,3,0.000000,0.000029,0.000021,0.000247,0.889775
roulette wheel,50,1,2.000000,75,50,rastrigin,3,0.000002,0.000103,0.000060,0.000814,1.230185
roulette wheel,50,1,1.728444,75,50,rastrigin,3,0.000000,0.000037,0.000044,0.000241,0.988230
roulette wheel,70,1,0.896332,75,50,rastrigin,3,0.000000,0.000026,0.000015,0.001463,0.907155
roulette wheel,70,1,0.774630,75,50,rastrigin,3,0.000000,0.000016,0.000018,0.000304,0.963530
roulette wheel,50,1,1.493759,75,50,rastrigin,3,0.000000,0.000012,0.000014,0.000027,0.903880
roulette wheel,60,1,1.859271,75,50,rastrigin,3,0.000017,0.000082,0.000088,0.000317,1.171275
roulette wheel,70,1,1.037155,75,50,rastrigin,3,0.000000,0.000004,0.000005,0.000009,1.065575
roulette wheel,60,1,0.537845,75,50,rastrigin,3,0.000000,0.000043,0.000043,0.000179,0.971310
roulette wheel,70,1,1.200103,75,50,rastrigin,3,0.000000,0.000002,0.000002,0.000009,1.006415
roulette wheel,60,1,0.720123,75,50,rastrigin,3,0.000000,0.000073,0.000056,0.000339,0.979160
roulette wheel,60,1,0.622346,75,50,rastrigin,3,0.000000,0.000039,0.000037,0.000141,1.067740
roulette wheel,60,1,1.493759,75,50,rastrigin,3,0.000000,0.000015,0.000017,0.000088,1.062520
roulette wheel,80,1,0.578555,75,50,rastrigin,3,0.000000,0.000016,0.000017,0.000186,0.933720
roulette wheel,80,1,0.500000,75,50,rastrigin,3,0.000000,0.000028,0.000019,0.000431,0.962865
roulette wheel,80,1,0.669452,75,50,rastrigin,3,0.000004,0.000034,0.000030,0.000386,0.991805
roulette wheel,60,1,0.833262,75,50,rastrigin,3,0.000002,0.000056,0.000039,0.000758,1.029205
roulette wheel,70,1,1.388651,75,50,rastrigin,3,0.000000,0.000008,0.000004,0.000044,1.328390
roulette wheel,80,1,0.774630,75,50,rastrigin,3,0.000004,0.000052,0.000055,0.000825,0.968790
roulette wheel,60,1,0.964176,75,50,rastrigin,3,0.000000,0.000008,0.000008,0.000017,0.944235
roulette wheel,70,1,1.859271,75,50,rastrigin,3,0.000004,0.000062,0.000062,0.000128,1.202950
roulette wheel,70,1,1.606822,75,50,rastrigin,3,0.000002,0.000010,0.000010,0.000079,0.960510
roulette wheel,60,1,1.290939,75,50,rastrigin,3,0.000000,0.000005,0.000004,0.000020,0.996220
roulette wheel,60,1,1.728444,75,50,rastrigin,3,0.000002,0.000017,0.000021,0.000022,0.993375
roulette wheel,60,1,1.115658,75,50,rastrigin,3,0.000000,0.000002,0.000002,0.000010,1.028095
roulette wheel,70,1,0.622346,75,50,rastrigin,3,0.000000,0.000035,0.000029,0.000200,1.177915
roulette wheel,80,1,0.896332,75,50,rastrigin,3,0.000000,0.000058,0.000066,0.000234,0.998625
roulette wheel,80,1,1.037155,75,50,rastrigin,3,0.000000,0.000004,0.000007,0.000258,0.992410
roulette wheel,60,1,2.000000,75,50,rastrigin,3,0.000006,0.000095,0.000108,0.000224,1.329855
roulette wheel,80,1,1.200103,75,50,rastrigin,3,0.000000,0.000001,0.000000,0.000004,1.464945
roulette wheel,70,1,0.964176,75,50,rastrigin,3,0.000000,0.000013,0.000016,0.000037,1.016305
roulette wheel,70,1,1.115658,75,50,rastrigin,3,0.000000,0.000002,0.000002,0.000007,0.955385
roulette wheel,70,1,0.537845,75,50,rastrigin,3,0.000000,0.000021,0.000023,0.000151,1.046630
roulette wheel,80,1,1.606822,75,50,rastrigin,3,0.000004,0.000045,0.000038,0.000142,0.874200
roulette wheel,70,1,0.833262,75,50,rastrigin,3,0.000000,0.000026,0.000026,0.000167,1.135795
roulette wheel,80,1,1.859271,75,50,rastrigin,3,0.000004,0.000038,0.000030,0.000284,0.958160
roulette wheel,80,1,0.720123,75,50,rastrigin,3,0.000000,0.000027,0.000019,0.000118,0.883000
roulette wheel,70,1,1.290939,75,50,rastrigin,3,0.000000,0.000005,0.000004,0.000044,1.006605
roulette wheel,80,1,0.622346,75,50,rastrigin,3,0.000002,0.000030,0.000027,0.000073,0.937385
roulette wheel,90,1,0.500000,75,50,rastrigin,3,0.000000,0.000029,0.000025,0.000509,1.118345
roulette wheel,70,1,1.493759,75,50,rastrigin,3,0.000000,0.000004,0.000005,0.000112,1.019975
roulette wheel,80,1,1.388651,75,50,rastrigin,3,0.000000,0.000004,0.000007,0.000065,1.258665
roulette wheel,90,1,0.578555,75,50,rastrigin,3,0.000000,0.000024,0.000026,0.000768,1.091850
roulette wheel,80,1,0.537845,75,50,rastrigin,3,0.000000,0.000035,0.000035,0.000937,1.200355
roulette wheel,70,1,2.000000,75,50,rastrigin,3,0.000010,0.000102,0.000056,0.000362,1.012495
roulette wheel,80,1,0.833262,75,50,rastrigin,3,0.000000,0.000016,0.000012,0.000591,1.098580
roulette wheel,70,1,1.728444,75,50,rastrigin,3,0.000000,0.000024,0.000029,0.000221,1.144530
roulette wheel,70,1,0.720123,75,50,rastrigin,3,0.000002,0.000025,0.000020,0.000109,1.721165
roulette wheel,90,1,0.669452,75,50,rastrigin,3,0.000000,0.000028,0.000032,0.000243,1.266435
roulette wheel,90,1,0.896332,75,50,rastrigin,3,0.000000,0.000011,0.000014,0.000062,1.069005
roulette wheel,90,1,1.037155,75,50,rastrigin,3,0.000000,0.000004,0.000005,0.000005,1.011750
roulette wheel,90,1,0.774630,75,50,rastrigin,3,0.000002,0.000032,0.000026,0.000511,1.095045
roulette wheel,90,1,1.200103,75,50,rastrigin,3,0.000000,0.000007,0.000007,0.000150,1.015970
roulette wheel,80,1,1.728444,75,50,rastrigin,3,0.000000,0.000022,0.000024,0.000130,1.119460
roulette wheel,80,1,1.115658,75,50,rastrigin,3,0.000000,0.000003,0.000002,0.000027,1.098355
roulette wheel,80,1,1.290939,75,50,rastrigin,3,0.000000,0.000003,0.000004,0.000019,0.876760
roulette wheel,100,1,0.774630,75,50,rastrigin,3,0.000004,0.000062,0.000056,0.000084,0.969560
roulette wheel,100,1,0.500000,75,50,rastrigin,3,0.000004,0.000094,0.000071,0.000489,0.876525
roulette wheel,90,1,1.606822,75,50,rastrigin,3,0.000000,0.000013,0.000020,0.000093,0.929415
roulette wheel,100,1,0.578555,75,50,rastrigin,3,0.000000,0.000032,0.000028,0.001090,0.933185
roulette wheel,90,1,1.388651,75,50,rastrigin,3,0.000000,0.000006,0.000008,0.000013,0.889990
roulette wheel,80,1,2.000000,75,50,rastrigin,3,0.000008,0.000063,0.000078,0.000385,0.959690
roulette wheel,90,1,1.859271,75,50,rastrigin,3,0.000000,0.000054,0.000067,0.000189,1.032140
roulette wheel,100,1,0.669452,75,50,rastrigin,3,0.000000,0.000058,0.000044,0.000243,0.978010
roulette wheel,80,1,0.964176,75,50,rastrigin,3,0.000000,0.000023,0.000026,0.000113,1.042825
roulette wheel,100,1,0.896332,75,50,rastrigin,3,0.000000,0.000045,0.000059,0.000268,0.912685
roulette wheel,100,1,1.037155,75,50,rastrigin,3,0.000000,0.000003,0.000003,0.000031,0.985770
roulette wheel,100,1,1.200103,75,50,rastrigin,3,0.000000,0.000002,0.000002,0.000008,0.964425
roulette wheel,100,1,1.388651,75,50,rastrigin,3,0.000000,0.000007,0.000009,0.000023,0.998675
roulette wheel,90,1,0.537845,75,50,rastrigin,3,0.000000,0.000026,0.000021,0.000266,0.977905
roulette wheel,90,1,0.622346,75,50,rastrigin,3,0.000000,0.000018,0.000022,0.000043,0.982685
roulette wheel,80,1,1.493759,75,50,rastrigin,3,0.000002,0.000016,0.000016,0.000030,1.022310
