selection,limit,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
roulette wheel,12,600,300,rastrigin,9,0.430382,1.431730,1.594046,0.698771,71.352920
roulette wheel,16,600,300,rastrigin,9,0.064835,0.220912,0.236963,0.311583,71.701770
roulette wheel,2,600,300,rastrigin,9,9.367306,16.300711,17.725426,4.387682,75.461210
roulette wheel,8,600,300,rastrigin,9,1.816254,3.955381,4.242477,1.196509,76.365845
roulette wheel,6,600,300,rastrigin,9,3.191578,6.099659,6.019125,2.062870,78.711745
roulette wheel,4,600,300,rastrigin,9,6.898880,10.887781,11.303986,1.795256,81.229175
tournament 3,16,600,300,rastrigin,9,0.080971,0.798549,1.023310,0.480756,65.174515
tournament 3,18,600,300,rastrigin,9,0.030075,0.370154,0.407234,0.320440,47.206305
tournament 3,34,600,300,rastrigin,9,0.000000,0.000000,0.000000,0.000002,44.579720
tournament 3,24,600,300,rastrigin,9,0.000954,0.001997,0.001986,0.004625,46.355560
tournament 3,20,600,300,rastrigin,9,0.012280,0.085428,0.108822,0.098225,48.901325
tournament 3,36,600,300,rastrigin,9,0.000000,0.000000,0.000000,0.000000,45.379640
tournament 3,32,600,300,rastrigin,9,0.000000,0.000002,0.000002,0.000004,48.588295
tournament 3,26,600,300,rastrigin,9,0.000031,0.000251,0.000286,0.000358,50.726245
tournament 5,6,600,300,rastrigin,9,3.156006,6.792967,7.549847,1.607011,54.275365
tournament 3,22,600,300,rastrigin,9,0.002415,0.011776,0.012253,0.026129,60.141475
tournament 5,12,600,300,rastrigin,9,1.354843,2.715455,3.024637,0.616210,50.203185
tournament 5,8,600,300,rastrigin,9,3.726925,4.665870,5.047985,1.045504,54.334635
tournament 5,16,600,300,rastrigin,9,0.185898,1.000246,1.217390,0.423508,48.391710
tournament 3,30,600,300,rastrigin,9,0.000000,0.000012,0.000015,0.000007,60.659150
tournament 3,28,600,300,rastrigin,9,0.000008,0.000055,0.000061,0.000052,61.017400
tournament 5,20,600,300,rastrigin,9,0.018978,0.101748,0.120842,0.086170,46.771510
tournament 3,40,600,300,rastrigin,9,0.000000,0.000000,0.000000,0.000000,59.918935
tournament 5,10,600,300,rastrigin,9,1.923256,3.082595,3.236334,0.782784,55.334150
tournament 3,38,600,300,rastrigin,9,0.000000,0.000000,0.000000,0.000000,60.924995
tournament 5,18,600,300,rastrigin,9,0.152149,0.437279,0.516329,0.342437,51.239645
tournament 5,14,600,300,rastrigin,9,0.392475,1.507958,1.649101,0.561129,54.939985
tournament 5,4,600,300,rastrigin,9,7.086517,10.216758,11.039484,1.670012,63.213260
tournament 5,2,600,300,rastrigin,9,12.722576,16.322634,16.796129,2.790950,66.273020
tournament 5,28,600,300,rastrigin,9,0.000080,0.000340,0.000416,0.000298,41.876525
tournament 5,22,600,300,rastrigin,9,0.001904,0.026397,0.025402,0.057239,58.000255
tournament 5,24,600,300,rastrigin,9,0.001961,0.007939,0.007660,0.015309,57.157745
tournament 5,26,600,300,rastrigin,9,0.000263,0.001942,0.002161,0.001423,54.621030
tournament 5,30,600,300,rastrigin,9,0.000008,0.000050,0.000067,0.000064,50.960175
tournament 5,38,600,300,rastrigin,9,0.000000,0.000000,0.000000,0.000003,36.371620
tournament 5,40,600,300,rastrigin,9,0.000000,0.000000,0.000000,0.000000,37.148810
tournament 5,36,600,300,rastrigin,9,0.000000,0.000001,0.000000,0.000004,40.422565
tournament 5,32,600,300,rastrigin,9,0.000000,0.000013,0.000015,0.000024,47.487380
tournament 5,34,600,300,rastrigin,9,0.000000,0.000003,0.000004,0.000007,42.584070
